category_name,question,answer
수소충전소 인프라 사업,[민간보조사업] 수소충전소 민간보조 사업 지원기준 및 절차는?,"A
• 한국자동차환경협회 업무대행업무로 자세한 사항 아래 참조(연료구입비 지원사업 포함)
   - (관련사이트) 한국자동차환경협회(https://www.aea.or.kr/biz/hcInfra.do)
  - (참고자료) 2023년 수소차 보급 및 충전소 설치사업 보조금 업무처리지침(환경부)
  - (기타문의) 070-4027-0584"
수소충전소 인프라 사업,[주요설비] 수소충전소 주요설비 구성은?,"A
• 튜브트레일러 기준
 1. (수소공급) 튜브트레일러: 수소충전소 내 수소를 공급하는 이동식 저장설비(200bar, 300kg)
2. (수소압축) 압축기: 저장설비의 수소를 고압으로 승압하여 저장용기에 저장(→ 1,000bar)
3. (수소저장) 저장용기: 압축설비에서 고압으로 전환된 수소를 저장(저압, 중압, 고압용기로 구성)
4. (냉각) 냉각기(칠러): 수소 온도 상승에 따른 수소차의 저장탱크 보호를 위해 수소온도를 -40°c까지 하강(압축과 충전시 온도 상승 제어)
5, (충전) 디스펜서: 수소를 수소차량에 충전하는 기기"
수소충전소 인프라 사업,[관계정부부처] 수소충전 구축에 따른 정부기관 역할 분담은?,"A
• 환경부는 수소충전소 보급 총괄기관이며, 수소 생산·유통과 관련하여 산자부, 국토부 등과 협업하고 있음
  - (환경부) 수소충전소 구축 총괄, 수소충전소 배치계획 수립, 수소충전소 운영비 지원, 수소충전소 인허가 특례 도입 등
 - (산자부)  수소 생산·유통 총괄, 수소충전소 부품 국산화(R&D), 수소연료 생산시설 구축, 수소충전소 안전관리(한국가스안전공사) 등
 - (국토부) 고속도로(한국도로공사) 및 교통물류거점(화물차休) 수소충전소 구축"
수소충전소 인프라 사업,[허가] 수소충전소 구축시 인허가 의제란?,"A
• ""대기환경보전법"" 개정('21년 4월)으로 환경부장관이 설치계획을 승인할 경우 해당 인허가 등을 받은 것으로 간주하는 의제(한시적 시행)
   * (관련법) 대기환경보전법 제58조의11(수소연료공급시설 설치계획의 승인)
 • 지역별 인허가 의제 처리 담당기관 현황
      담당기관                                    설치지역
수도권대기환경청                       
• 서울특별시, 인천광역시 및 경기도(수원시,안양시,부천시, 광명시,평택시,안산시,과천시,오산시,군포시,의왕시,시흥시,김포시,화성시)
한강유역환경청
• 경기도(수원시,안양시,부천시,광명시, 평택시,안산시,과천시,오산시,군포시,의왕시,시흥시,김포시,화성시 제외)
낙동강유역환경청 • 부산광역시,울산광역시,경상남도(하동군 및 남해군 제외)
금강유역환경청 • 대전광역시,세종특별자치시,충청북도(원주청 관할지 제외)
영산강유역환경청 • 광주광역시,전라남도,경상남도(하동군,남해군),제주도
원주지방환경청 • 강원도, 충청북도(충주시,제천시,괴산군,음성군,단양군)
대구환경청 • 대구광역시, 경상북도
전북지방환경청 • 전라북도"
수소충전소 인프라 사업,[부지선정] 수소충전소 구축 필요 면적 및 절차는?,"A
• (부지 면적) 단독으로 구축 시 약 1,300㎡ 필요(최소 300평 이상)
               주유소 등 복합 형태 구축시 약 660㎡ 필요(최소 200평)
 • (구축 절차) 부지선정 > 기초·실시설계 > 건축허가 > 기술검토(KGS) > 고압가스허가  > 공사착공  > 완성검사  > 시운전  > 상업운전개시(평균 1년 6개월 소요)"
수소충전소 인프라 사업,[기대효과] 수소(충전소)의 기대 효과는?,"A
친환경에너지로 미래 경제적 부가가치 창출
① 수소는 기존연료 전지를 대체하는 지속가능한 미래형 에너지로,
② 온실가스 배출량과, 미세먼지를 정화하는 친환경에너지이며,
③ 지역의 관광유치와 일자리 창출 등 경제적 부가가치 증대 효과
    · 연간 약 70조원 경제효과 및 60만명 고용창출(50년 기준, 맥킨지)"
수소충전소 인프라 사업,[안정성] 수소충전소는 얼마나 안전하게 관리하나요?,"A
수소충전소 구축에서부터 관리까지 전방위적 안전조치 시행
① 선진국과 동일하게 국제기준(ISO)을 안전검사를 통과한 부품을 사용
② 주요설비(안전밸브, 고압압력용기 등)에 대한 검사 및 인증실시
③ 가스누출감지경보장치, 화염감지기, 온도·압력센서 등 3중 안전장치 설치
④ 보호시설과 안전거리를 확보하고 안전관리요원이 상주하여 관리"
수소충전소 인프라 사업,[안정성] 수소충전소도 수소폭탄처럼 폭발할 수 있나요?,"A
에너지로 사용되는 수소가스는 산소와 수소의 단순 화학 반응원리를 사용하기에 수소폭탄과 같은 폭발위험이 없음
① 수소폭탄은 일반적 수소와 원자구조가 다른 중수소, 삼중수소를 사용
② 자연 상태에서 존재하기 힘든 수소로 인위적으로 만들어야 함
③ 특히, 수소폭탄의 폭발은 1억℃ 이상의 온도에서 발생하고 수천 기압이 필요하다
④즉, 자연에 존재하는 수소에너지가 수소폭탄처럼 폭발하는 건 가능성이 낮다는 중론임"
수소충전소 인프라 사업,[안정성] 수소가스가 누출되면 위험하지 않나요?,"A
수소는 우리가 주변에서 일반적으로 사용하는 연료인 LPG, LNG, 가솔린 등과 비교할 때 안전성이 높은 에너지원임.
또한, 실제로 수소는 공기보다 가벼워 누출되더라도 급속도로 확산되어 자연 상태에서 발화 가능성은 극히 불가

* 참고. 연료별 상대적 위험도 비교"
수소충전소 인프라 사업,[구축절차] 수소충전소 구축 과정(공정)은?,"A
일반적으로,
기획·설계 - 인허가 - 시공(착공 - 기초공사 - 1차중간 검사 - 골조검사 - 2차 중간검사 - 마감공사 - 설비설치 - 3차중간검사 - 예비시운전 - 완성검사) - 운영개시 순으로 진행(약8개월 소요)"
