년월,시군구별,연료별,승용,승합,화물,특수,계
2019-01-01,종로구,CNG,6,2,16,,24
2019-01-01,종로구,CNG,,92,,,92
2019-01-01,종로구,경유,11053,3266,4114,120,18553
2019-01-01,종로구,경유,56,224,602,53,935
2019-01-01,종로구,기타연료,2,25,47,10,84
2019-01-01,종로구,기타연료,,,91,,91
2019-01-01,종로구,수소,6,,,,6
2019-01-01,종로구,엘피지,1736,236,341,,2313
2019-01-01,종로구,엘피지,223,,124,,347
2019-01-01,종로구,전기,127,,4,,131
2019-01-01,종로구,하이브리드(LPG+전기),42,,,,42
2019-01-01,종로구,하이브리드(경유+전기),2,,,,2
2019-01-01,종로구,하이브리드(휘발유+전기),1264,,,,1264
2019-01-01,종로구,하이브리드(휘발유+전기),9,,,,9
2019-01-01,종로구,휘발유,11583,38,49,1,11671
2019-01-01,종로구,휘발유,5,,,,5
2019-01-01,종로구,휘발유(무연),14901,27,15,1,14944
2019-01-01,종로구,휘발유(무연),200,,,,200
2019-01-01,종로구,휘발유(유연),8,,,,8
2019-01-01,중구,CNG,8,2,12,,22
2019-01-01,중구,CNG,1,13,,,14
2019-01-01,중구,경유,11931,2699,4883,80,19593
2019-01-01,중구,경유,659,272,1550,124,2605
2019-01-01,중구,기타연료,4,24,80,17,125
2019-01-01,중구,기타연료,,,149,,149
2019-01-01,중구,수소,3,,,,3
2019-01-01,중구,엘피지,1448,330,437,,2215
2019-01-01,중구,엘피지,889,1,58,,948
2019-01-01,중구,전기,182,2,2,,186
2019-01-01,중구,전기,22,,,,22
2019-01-01,중구,하이브리드(LPG+전기),29,,,,29
2019-01-01,중구,하이브리드(경유+전기),3,,,,3
2019-01-01,중구,하이브리드(휘발유+전기),1068,,,,1068
2019-01-01,중구,하이브리드(휘발유+전기),187,,,,187
2019-01-01,중구,휘발유,11251,17,20,2,11290
2019-01-01,중구,휘발유,189,4,,,193
2019-01-01,중구,휘발유(무연),12575,15,29,,12619
2019-01-01,중구,휘발유(무연),604,,,,604
2019-01-01,중구,휘발유(유연),19,,,,19
2019-01-01,용산구,CNG,3,1,24,1,29
2019-01-01,용산구,CNG,,3,,,3
2019-01-01,용산구,경유,18556,2020,5384,82,26042
2019-01-01,용산구,경유,64,65,1019,45,1193
2019-01-01,용산구,기타연료,213,29,87,7,336
2019-01-01,용산구,기타연료,,,3,,3
2019-01-01,용산구,엘피지,2611,399,470,,3480
2019-01-01,용산구,엘피지,760,18,76,,854
